R_Donor_Email,R_Donation_Amount,R_Donation_Date,R_Payment_Type_Id,R_Donation_Status_Id,R_Receipted,R_Program_Name,Congregation_Id,Required if this is a soft credit donation →,Soft_Credit_Donor_Email,Required if this is a donation to a pledge→,Pledge_Owner_Email,Optional→,Non-Cash_Asset_Type_Id,Anonymous,Processed,Processor_Id,Status_Date,Status_Notes,Donation_Notes,Transaction_Code,Batch_Name,Item_Number,Tester notes
mpcrds+auto+fredflintstone@gmail.com,100,1/1/2018,2,4,1,(t+auto) GO Bedrock 2018,5,,,,mpcrds+auto+fredflintstone@gmail.com,,,0,,,,,,,,,Donation towards donor's own pledge
mpcrds+tifalockhart@gmail.com,150,1/1/2018,2,2,1,(t) GO Midgar 2018,5,,,,mpcrds+cloudstrife@gmail.com,,,0,,,,,,,,,Anonymous donation towards Cloud's trip by Tifa
mpcrds+tifalockhart@gmail.com,100,1/2/2018,2,2,1,(t) GO Midgar 2018,5,,,,mpcrds+cloudstrife@gmail.com,,,1,,,,,,,,,Non-anonymous donation towards Cloud's trip by Tifa
mpcrds+auto+wilmaflintstone@gmail.com,150,1/1/2018,2,2,1,(t+auto) GO Bedrock 2018,5,,,,mpcrds+auto+fredflintstone@gmail.com,,,0,,,,,,,,,Donation to Fred's trip pledge by Wilma - not anonymous.
mpcrds+auto+wilmaflintstone@gmail.com,150,1/2/2018,2,2,1,(t+auto) GO Bedrock 2018,5,,,,mpcrds+auto+fredflintstone@gmail.com,,,1,,,,,,,,,Donation to Fred's trip pledge by Wilma - anonymous.
<<<<<<< HEAD
mpcrds+auto+2@gmail.com,50,8/30/2017,4,2,0,Ministry Fund,1,,,,,,,,,,9/1/2017,,,,(auto) General Giving,,
mpcrds+12@gmail.com,50,8/30/2017,4,2,0,Ministry Fund,1,,,,,,,,,,9/1/2017,,,,(auto) General Giving,,
mpcrds+tremplay.richard@gmail.com,50,8/30/2017,4,2,0,Ministry Fund,1,,,,,,,,,,9/1/2017,,,,(auto) General Giving,,
mpcrds+auto+2@gmail.com,50,8/30/2017,4,2,0,Ministry Fund,1,,,,,,,,,,9/1/2017,,,,(auto) General Giving,,
=======
mpcrds+auto+2@gmail.com,50,8/30/2017,4,2,0,Ministry Fund,1,,,,,,,,,,9/1/2017,,,,(auto) Ministry Fund,,
mpcrds+12@gmail.com,50,8/30/2017,4,2,0,Ministry Fund,1,,,,,,,,,,9/1/2017,,,,(auto) Ministry Fund,,
mpcrds+tremplay.richard@gmail.com,50,8/30/2017,4,2,0,Ministry Fund,1,,,,,,,,,,9/1/2017,,,,(auto) Ministry Fund,,
mpcrds+auto+2@gmail.com,50,8/30/2017,4,2,0,Ministry Fund,1,,,,,,,,,,9/1/2017,,,,(auto) Ministry Fund,,
>>>>>>> us1900_switch_general_giving_to_ministry_fund
mpcrds+12@gmail.com,50,8/30/2017,4,2,0,Ministry Fund,1,,,,,,,,,,9/1/2017,,,,(auto) General Giving Two Batches,,
mpcrds+tremplay.richard@gmail.com,50,8/30/2017,4,2,0,Ministry Fund,1,,,,,,,,,,9/1/2017,,,,(auto) General Giving Two Batches,,
